Date;INV2;TEMP;HUM
2024-07-22 09:30:00;1308.2369936988466;21.82000000000005;84.0
2024-07-22 09:45:00;961.7822245005016;22.186666666666667;82.0
2024-07-22 10:00:00;2474.605500917177;22.19000000000004;81.33333333333333
2024-07-22 10:15:00;2005.8293090820312;22.70333333333336;79.0
2024-07-22 10:30:00;2952.41298819877;22.953333333333376;78.0
2024-07-22 10:45:00;2805.5445581723566;23.466666666666697;75.33333333333333
2024-07-22 11:00:00;2949.9697397592904;23.43000000000005;76.0
2024-07-22 11:15:00;2392.6499987372035;23.330000000000023;76.33333333333333
2024-07-22 11:30:00;2629.794462857181;20.8566666666667;84.33333333333333
2024-07-22 11:45:00;2618.3658026333514;21.79000000000004;81.0
2024-07-22 12:00:00;172.289549389401;21.196666666666697;84.33333333333333
2024-07-22 12:15:00;381.2798037945024;22.420000000000016;81.0
2024-07-22 12:30:00;584.6048449042703;22.56;82.0
2024-07-22 12:45:00;1535.1664855120932;22.70333333333336;81.66666666666667
2024-07-22 13:00:00;1852.1537537030729;21.883333333333365;85.33333333333333
2024-07-22 13:15:00;3006.976277396183;21.863333333333344;85.66666666666667
2024-07-22 13:30:00;1770.540294750317;21.353333333333357;87.66666666666667
2024-07-22 13:45:00;2008.2184049818247;19.826666666666693;91.33333333333331
2024-07-22 14:00:00;2359.067214239212;20.84666666666669;90.33333333333331
2024-07-22 14:15:00;965.4154085726352;21.353333333333357;89.33333333333333
2024-07-22 14:30:00;1163.279270119863;21.336666666666684;89.33333333333333
2024-07-22 14:45:00;639.0016032993393;21.25000000000004;90.0
2024-07-22 15:00:00;563.7051291952328;21.09000000000001;90.0
2024-07-22 15:15:00;776.8069792447025;21.14333333333333;89.66666666666667
2024-07-22 15:30:00;1805.7201394714768;21.466666666666697;88.33333333333333
2024-07-22 15:45:00;1508.1711429877569;21.83000000000004;87.33333333333333
2024-07-22 16:00:00;897.5493832542783;22.433333333333355;85.33333333333333
2024-07-22 16:15:00;1079.5389416838343;22.02333333333335;86.33333333333333
2024-07-22 16:30:00;937.5534107105152;21.413333333333355;88.33333333333333
2024-07-22 16:45:00;481.6960651631258;21.133333333333344;89.0
2024-07-22 17:00:00;238.08513053687844;20.750000000000018;89.66666666666667
2024-07-22 17:15:00;290.3287717621902;20.21666666666668;90.66666666666669
2024-07-22 17:30:00;214.79742008930927;20.030000000000047;91.66666666666669
2024-07-22 17:45:00;208.41115308787724;19.78333333333336;93.0
2024-07-22 18:00:00;101.32244101086178;19.870000000000005;93.0
2024-07-22 18:15:00;10.38611297248161;19.80333333333334;92.33333333333331
2024-07-22 18:30:00;2.0845950671604703;19.753333333333348;92.0
2024-07-22 18:45:00;0.0;19.590000000000032;92.33333333333331
2024-07-22 19:00:00;0.0;19.42666666666669;93.0
2024-07-22 19:15:00;0.0;19.08000000000004;93.0
2024-07-22 19:30:00;0.0;18.84333333333336;93.0
2024-07-22 19:45:00;0.0;18.71666666666668;93.66666666666669
2024-07-22 20:00:00;0.0;18.593333333333344;94.0
2024-07-22 20:15:00;0.0;18.51666666666667;94.0
2024-07-22 20:30:00;0.0;18.416666666666668;94.66666666666669
2024-07-22 20:45:00;0.0;18.28000000000003;95.0
2024-07-22 21:00:00;0.0;18.0266666666667;95.0
2024-07-22 21:15:00;0.0;17.896666666666686;95.0
2024-07-22 21:30:00;0.0;17.780000000000012;95.0
2024-07-22 21:45:00;0.0;17.686666666666667;95.0
2024-07-22 22:00:00;0.0;17.616666666666674;95.0
2024-07-22 22:15:00;0.0;17.503333333333348;95.0
2024-07-22 22:30:00;0.0;17.453333333333358;95.0
2024-07-22 22:45:00;0.0;17.460000000000036;95.0
2024-07-22 23:00:00;0.0;17.343333333333344;95.0
2024-07-22 23:15:00;0.0;17.476666666666706;95.66666666666669
2024-07-22 23:30:00;0.0;17.50333333333337;96.33333333333331
2024-07-22 23:45:00;0.0;17.210000000000036;97.66666666666669
2024-07-23 00:00:00;0.0;17.230000000000018;96.66666666666669
2024-07-23 00:15:00;0.0;17.406666666666677;96.0
2024-07-23 00:30:00;0.0;17.51000000000003;95.33333333333331
2024-07-23 00:45:00;0.0;17.663333333333373;95.33333333333331
2024-07-23 01:00:00;0.0;17.666666666666703;96.0
2024-07-23 01:15:00;0.0;17.60000000000004;95.33333333333331
2024-07-23 01:30:00;0.0;17.483333333333366;95.0
2024-07-23 01:45:00;0.0;17.390000000000043;95.0
2024-07-23 02:00:00;0.0;17.403333333333364;95.0
2024-07-23 02:15:00;0.0;17.333333333333353;95.0
2024-07-23 02:30:00;0.0;17.140000000000043;95.0
2024-07-23 02:45:00;0.0;17.05666666666669;95.0
2024-07-23 03:00:00;0.0;16.963333333333367;94.66666666666669
2024-07-23 03:15:00;0.0;16.936666666666685;94.0
2024-07-23 03:30:00;0.0;16.960000000000036;94.0
