time;Power;E3DC0SOC
2024-11-19 04:40:00;-0.0;99.0
2024-11-19 04:50:00;-0.0;99.0
2024-11-19 05:00:00;-0.0;99.0
2024-11-19 05:10:00;-0.0;99.0
2024-11-19 05:20:00;-0.0;99.0
2024-11-19 05:30:00;-0.0;99.0
2024-11-19 05:40:00;-0.0;99.0
2024-11-19 05:50:00;-0.0;98.29261744966443
2024-11-19 06:00:00;-0.0;98.0
2024-11-19 06:10:00;-0.0;98.0
2024-11-19 06:20:00;-0.0;98.0
2024-11-19 06:30:00;-0.0;98.0
2024-11-19 06:40:00;-0.0;98.0
2024-11-19 06:50:00;-0.0;98.0
2024-11-19 07:00:00;-0.0;98.0
2024-11-19 07:10:00;-579.7842605156038;97.78154681139756
2024-11-19 07:20:00;-1417.057220708447;95.6275579809004
2024-11-19 07:30:00;-1415.0574555403557;93.275956284153
2024-11-19 07:40:00;-951.953038674033;91.01933701657458
2024-11-19 07:50:00;-643.5763402552867;89.72790055248619
2024-11-19 08:00:00;-640.8343839135161;88.50771388499298
2024-11-19 08:10:00;-847.6959553695955;87.16759776536313
2024-11-19 08:20:00;-473.5969529085873;85.93074792243767
2024-11-19 08:30:00;-793.1325648414985;84.53314121037464
2024-11-19 08:40:00;-483.82631578947365;83.42236842105264
2024-11-19 08:50:00;-196.26603001364256;82.69849931787176
2024-11-19 09:00:00;-701.9728571428572;81.78683834048641
2024-11-19 09:10:00;-785.7175792507205;80.12536023054756
2024-11-19 09:20:00;-1136.9015222833839;78.29124820659972
2024-11-19 09:30:00;-1362.3377142970658;76.03802816901408
2024-11-19 09:40:00;-814.0663362402909;74.66149506346967
2024-11-19 09:50:00;-603.581581994703;72.75530410183876
2024-11-19 10:00:00;839.416785206259;72.57549857549857
2024-11-19 10:10:00;90.93213296398892;73.0
2024-11-19 10:20:00;42.65337001375516;72.3273727647868
2024-11-19 10:30:00;-4987.74109589041;67.9876712328767
2024-11-19 10:40:00;-1407.1346153846155;62.03159340659341
2024-11-19 10:50:00;-1338.3808219178081;59.55281207133059
2024-11-19 11:00:00;-1363.278846153846;56.96844993141289
2024-11-19 11:10:00;-981.8679504814305;54.70013755158185
2024-11-19 11:20:00;-1017.4646823383506;52.92318244170096
2024-11-19 11:30:00;-954.5948670145245;50.97799174690509
2024-11-19 11:40:00;-1035.7815468113977;49.05427408412483
2024-11-19 11:50:00;-1041.3950953678473;47.11444141689373
2024-11-19 12:00:00;-958.016415868673;45.00273597811218
2024-11-19 12:10:00;-980.0871369294605;43.2268326417704
2024-11-19 12:20:00;-826.135593220339;41.36299435028248
2024-11-19 12:30:00;-833.4624113475177;39.65673758865248
2024-11-19 12:40:00;-912.3516949152544;37.96610169491525
2024-11-19 12:50:00;-915.5376955903272;36.08819345661451
2024-11-19 13:00:00;-908.124511150827;34.31623931623932
2024-11-19 13:10:00;-909.4608414515692;32.51857142857143
2024-11-19 13:20:00;-938.3636363636364;30.56534090909091
2024-11-19 13:30:00;-888.85935302391;28.825842696629213
2024-11-19 13:40:00;-877.3785635834954;27.125175808720112
2024-11-19 13:50:00;-831.2539156458018;25.422913719943423
2024-11-19 14:00:00;-890.3245492371706;23.638002773925106
2024-11-19 14:10:00;-932.8035714285713;21.845942228335627
2024-11-19 14:20:00;-1099.985935302391;19.941011235955056
2024-11-19 14:30:00;-1021.3427762039661;17.9024045261669
2024-11-19 14:40:00;-907.7503448275862;16.019310344827588
2024-11-19 14:50:00;-808.736477115118;14.499306518723994
2024-11-19 15:00:00;-720.8079561042524;12.899862825788752
2024-11-19 15:10:00;-638.9162011173185;11.60754189944134
2024-11-19 15:20:00;-560.2808219178082;10.364383561643836
2024-11-19 15:30:00;-497.33103448275864;9.223140495867767
2024-11-19 15:40:00;-432.0770288858322;8.152682255845942
2024-11-19 15:50:00;-381.2713498622589;7.325068870523416
2024-11-19 16:00:00;-332.29674796747975;6.497289972899729
2024-11-19 16:10:00;-291.34506089309883;6.0
2024-11-19 16:20:00;-87.78484438430311;5.047361299052774
2024-11-19 16:30:00;0.2469108184103217;5.205128205128205
2024-11-19 16:40:00;-42.517776030428266;5.013513513513513
2024-11-19 16:50:00;28.31929347826087;5.122282608695652
2024-11-19 17:00:00;-22.606870229007633;5.062420382165605
2024-11-19 17:10:00;-40.237971391417425;5.277922077922078
2024-11-19 17:20:00;42.323376623376625;5.084415584415584
2024-11-19 17:30:00;28.243489583333336;5.0
2024-11-19 17:40:00;-41.01950585175553;5.214564369310793
2024-11-19 17:50:00;67.70963541666666;5.0
2024-11-19 18:00:00;18.363281250000004;5.065104166666667
2024-11-19 18:10:00;-0.0;6.0
2024-11-19 18:20:00;-0.0;6.0
2024-11-19 18:30:00;-0.0;6.0
2024-11-19 18:40:00;-105.04973821989527;5.37434554973822
2024-11-19 18:50:00;68.03120936280885;5.0
2024-11-19 19:00:00;3.3177691309987027;5.0
2024-11-19 19:10:00;-0.0;5.0
2024-11-19 19:20:00;-0.0;5.0
2024-11-19 19:30:00;-46.653645833333336;5.215864759427828
2024-11-19 19:40:00;60.79843953185956;5.0
2024-11-19 19:50:00;-0.0;5.0
2024-11-19 20:00:00;-0.0;5.0
2024-11-19 20:10:00;-0.0;5.0
2024-11-19 20:20:00;-0.0;5.0
2024-11-19 20:30:00;-0.0;5.147255689424364
2024-11-19 20:40:00;-92.36339522546419;5.274900398406374
2024-11-19 20:50:00;68.54993342210386;5.0
2024-11-19 21:00:00;21.366666666666667;5.0
2024-11-19 21:10:00;-0.0;5.0
2024-11-19 21:20:00;-0.0;5.0
