Date,Predict
2024-09-11 10:59:00,1199.0082
2024-09-11 11:00:00,1179.4365
2024-09-11 11:01:00,1190.8362
2024-09-11 11:02:00,1301.3467
2024-09-11 11:03:00,1193.1156
2024-09-11 11:04:00,1157.573
2024-09-11 11:05:00,1173.9078
2024-09-11 11:06:00,1186.0421
2024-09-11 11:07:00,1264.0765
2024-09-11 11:08:00,1227.2947
2024-09-11 11:09:00,1218.1279
2024-09-11 11:10:00,1211.9623
2024-09-11 11:11:00,1342.3063
2024-09-11 11:12:00,1311.4984
2024-09-11 11:13:00,1406.8856
